Breakfast,Lunch,Evening Snacks,Dinner,Fruits,Drinks,Others Advice,Desserts
Almonds,Aloo Baingan,Almonds,Aloo Baingan,Apple,Alchol,Animal Fat,Artificial Sweetner
Aloo chat,Aloo Gobi,Aloo chat,Aloo Gobi,Avocado,Barley Water,Smoking,Barfi
Aloo paratha,Aloo Matar,Apple,Aloo Matar,Bananas,Black Tea,,Cream
Apple,Aloo Methi,Avocado,Aloo Methi,Berries,Canned Juice and snacks,,Curd
Artificial Sweetner,Arhar dal,Baked oats pakoda,Arhar dal,Blackberries,Coffee,,Donuts
Avocado,Bacon,Bananas,Bacon,Chiku,Energy drink,,Jellies
Bajra Roti,Bajra Roti,Beetroot,Bajra Roti,Citrus fruits,Green Tea,,Jelly
Bananas,Barley Khichdi,Beetroots,Barley Khichdi,Grapefruit,Juice,,Kheer
Barley,Beetroot Pickle,Berries,Beetroot Pickle,Grapes,Low-fat Cinnamon milk,,Mithai
Barley Idili,Bengal gram dal,Biscuits,Bengal gram dal,Guava,Low-fat milk,,Pastries
Barley Khichdi,Bhindi Masala,Black Tea,Bhindi Masala,Kiwi,Milk,,Raita
Barley urad dal dosa,Black Eyed Peas Curry,Blackberries,Black Eyed Peas Curry,Mango,Regular Soda,,Refined Sugar
Barley Water,Black Grams,Brazil or Hazel Nuts,Black Grams,Orange,soft drinks,,Shrikhand
Beetroot,Broccoli,Bread Rolls,Broccoli,Peach,Tea,,Strawberry and Black Grape Raita
Beetroots,Brown Rice,Bread sticks,Brown Rice,Pear,Tender Coconut water,,Yogurt
Berries,Burger,Breadcrumbs,Burger,Pineapple,Tonned Milk,,
Biscuits,Cabbage,Brussel sprouts,Cabbage,Pomegranate,,,
Black Grams,Capsicum,Buckwheat Brown Rice Flour Khakhra,Capsicum,Raspberries,,,
Black Tea,Cauliflower,Caffeine,Cauliflower,red grapes,,,
Blackberries,Chana Masala,Cake,Chana Masala,Strawberries,,,
Brazil or Hazel Nuts,Chelated Iron,Cakes,Chelated Iron,Strawberry,,,
Bread Rolls,Chicken,Canned Juice and snacks,Chicken,,,,
Bread sticks,Chicken Curry,Cashew Nuts,Chicken Curry,,,,
Breadcrumbs,Chicken Tikka Masala,Cauliflower Oats Tikki,Chicken Tikka Masala,,,,
Brussel sprouts,Chilis,Cheesy Samosa Jalapeño Poppers,Chilis,,,,
Buckwheat Brown Rice Flour Khakhra,Coconut Chicken Curry,Chiku,Coconut Chicken Curry,,,,
Butter,Coconut Chickpea Curry,Chips,Coconut Chickpea Curry,,,,
Caffeine,Coconut Shrimp Curry,Citrus fruits,Coconut Shrimp Curry,,,,
Canned Juice and snacks,Corn,Cocoa,Corn,,,,
Carrots,Cream,Coffee,Cream,,,,
Cashew Nuts,Cress,Cookies,Cress,,,,
Cheese,Cucumber,Corn,Cucumber,,,,
Chelated Iron,Dahi Curry,Cucumber,Dahi Curry,,,,
Cherries,Dal,Donuts,Dal,,,,
Chiku,Dal Makhani,French Fries,Dal Makhani,,,,
Citrus fruits,Dal Tadka,Fried Foods,Dal Tadka,,,,
Cocoa,Dosa with arbi masala,Grapefruit,Dosa with arbi masala,,,,
Coconut Oats,Egg Bhurji,Grapes,Egg Bhurji,,,,
Coffee,Egg Curry,Green Tea,Egg Curry,,,,
Cookies,Fish,Grilled Sweet Potato,Fish,,,,
Corn,Flax seeds,Guava,Flax seeds,,,,
Cucumber,Garlic,High-fat dairy product,Garlic,,,,
Curd,Green Moong Dal,Jellies,Green Moong Dal,,,,
Dahi Vada,Grilled Sweet Potato,Jelly,Grilled Sweet Potato,,,,
Dalda Ghee,Ham,Juice,Ham,,,,
Donuts,Iodine rich sea weeds,Kachori,Iodine rich sea weeds,,,,
Dosa with arbi masala,Iodized Salt,Ketchup,Iodized Salt,,,,
Eggs,Kala Chana,Kiwi,Kala Chana,,,,
Flax seeds,Keema Matar,Mayonnaise,Keema Matar,,,,
Full-fat dairy,Khichdi,Namkeen,Khichdi,,,,
Ghee,Lady Finger,Noodles,Lady Finger,,,,
Grapefruit,Lemon Rice,Nuts,Lemon Rice,,,,
Grapes,lime,Nuts and Seeds,lime,,,,
Green Tea,Masoor Dal,Orange,Masoor Dal,,,,
Guava,Massor Dal,Packaged drinks,Massor Dal,,,,
High-fat dairy product,Meat,Pakora,Meat,,,,
Idli,Methi Matar Malai,Paneer Jalfrezi,Methi Matar Malai,,,,
Iodine rich sea weeds,Mix dal,Pastas,Mix dal,,,,
Iodized Salt,Mix veg curry,Pastries,Mix veg curry,,,,
Jam,Moth Dal,Peach,Moth Dal,,,,
